device,chipset,system,game,performance,driver,emulator,update,notes,date added
Retroid Pocket 5,sd865,switch,Pokemon Arceus,Perfect,Turnip 25.0.0 R8,Eden,1,-,2025/09/13
Retroid Pocket 5,sd865,switch,Kirby And The Forgotten Land,Perfect,Mr.Purple T19,Eden,1,plays great at 1x res. usually at 30fps even with async. Using 0.0.3 Eden,2025/09/12
Retroid Pocket 5,sd865,switch,Mario Kart 8 Deluxe,Perfect,Qualcom 819.2,Eden,3.0.4,"Set to docked mode for best clarity. Enable max clocks. NOTE: Do not use any other drivers or your device will hard reboot. The Qualcom 819.2 drivers fix the missing shadows! Some of the race icons on the main menu will look tinted purple but thats it, All in game races look perfect with no color issues",2025/09/12
Retroid Pocket 5,sd865,switch,Hollow Knight Silksong,Perfect,Qualcomm 0.746.0,Eden,1,-,2025/09/12
Retroid Pocket 5,sd865,switch,Crash Bandicoot N. Sane Trilogy,Perfect,Qualcom 819.2,Yuzu,1,-,2025/09/11
Retroid Pocket 5,sd865,switch,Ace Attorney Investigations Collection,Perfect,Turnip 24.3.0 9v2,Eden,1,-,2025/09/11
Retroid Pocket 5,sd865,switch,Final Fantasy Xii,Unplayable,Turnip 24.3.0 9v2,Sudachi,1.1,"The other entry that says ""Perfect"" is totally not true. I tried the same seetings and many other settings. It will play fine... for a few minutes.. and then constantly crash at various spots. There is no way to complete this game.",2025/09/11
Retroid Pocket 5,sd865,switch,Supermariobros.u.delux,Perfect,Turnip 24.3.0 9v2,Eden,1.0.2,-,2025/09/11
Retroid Pocket 5,sd865,switch,.hack//g.u. Last Recode,Perfect,Qualcomm 0.746.0,Eden,1,-,2025/09/10
Retroid Pocket 5,sd865,switch,Disney Epic Mickey: Rebrushed,Great,Turnip 23.3.0-devel,Citron,1.0.3,"Set to 0.75x resolution Enable Force Maximum clocks Enable Async shaders NOTE: Game supports the 60FPS patch and runs really well. I highly suggest installing it, averages around 45FPS most of the time.",2025/09/10
Retroid Pocket 5,sd865,switch,Red Dead Redemption,Playable,Turnip 24.3.0 9v2,Eden,1,30 FPS first town on 0.75,2025/09/10
Retroid Pocket 5,sd865,switch,Luigi’s Mansion 2 Hd,Unplayable,Turnip 24.3.0 R5,Eden,1,"Tried allot different settings and drivers, game just crash at loading.",2025/09/10
Retroid Pocket 5,sd865,switch,Dark Souls 1,Perfect,Turnip 25.2.0 R4,Eden,1,-,2025/09/10
Retroid Pocket 5,sd865,switch,Oddworld: Strangers Wrath,Perfect,Turnip 24.3.0 9v2,Eden,1,Plays perfectly even in docked mode 1x. DO NOT TRY TO RAISE RESOLUTION just don't Also do not change the anti aliasing option to msaa makes the game run slower,2025/09/08
Retroid Pocket 5,sd865,switch,Mandragora: Whispers Of The Witch Tree,Unplayable,Turnip Driver 24.1.0 r18 fix for a6xx,Eden,1,Tried all the relevant drivers. - Qualcomm- - 9v2 - 18 fix - T19 No one suceed to work,2025/09/08
Retroid Pocket 5,sd865,switch,Everybody's Golf Hot Shots,Playable,Qualcomm 805,Citron,1.1,25-30 fps with the occasional freeze. 1.0 native resolution.,2025/09/07
Retroid Pocket 5,sd865,switch,Everybody's Golf Hot Shots,Unplayable,Turnip 24.3.0 9v2,Sudachi,1,Crashes Sudachi when game is added to the game folder,2025/09/07
Retroid Pocket 5,sd865,switch,Jujutsu Kaisen Cursed Clash,Perfect,Turnip 24.3.0 9v2,Yuzu,1,-,2025/09/07
Retroid Pocket 5,sd865,switch,Trials Of Mana,Perfect,BioSensor MK1,Citron,1.1.1,"Force maximum clocks = ON Use Async Shaders = ON Audio output engine = Cubeb NOTE: Game runs at 40FPS on average and 30FPS in towns. Have not found any bugs or crashes yet, Cubeb fixes the glitchy audio Download the Biosensensor MK-I driver here: https://drive.google.com/file/d/1-HelK3XdD1L4JKbT9UHe82O0FUU2RxGg/view",2025/09/06
Retroid Pocket 5,sd865,switch,Dave The Diver,Perfect,Qualcomm 0.746.0,Yuzu,1,-,2025/09/06
Retroid Pocket 5,sd865,switch,Super Mario Party Jamboree,Great,Qualcomm 0.746.0,Sudachi,1,-,2025/09/06
Retroid Pocket 5,sd865,switch,Hollow Knight Silksong,Perfect,Turnip 24.3.0 9v2,Yuzu,1,Smooth 60fps Game version: 1.0.27776 Disk shader cache on. Everything else default,2025/09/05
Retroid Pocket 5,sd865,switch,Gta: San Andreas - Definitive Edition,Playable,Qualcomm 0.746.0,Eden,1,-,2025/09/05
Retroid Pocket 5,sd865,switch,Resident Evil Revelations,Perfect,Qualcomm 0.746.0,Sudachi,1.0.1,firmware 17.0.1 Async Shaders on runs great 60fps,2025/09/05
Retroid Pocket 5,sd865,switch,Super Mario 3d All Stars,Playable,Qualcomm 0.746.0,Yuzu,1,-,2025/09/05
Odin 2 Portal,sd8g2,switch,Hollow Knight: Silksong,Perfect,System GPU driver,Eden,1.0.28324,Needs Eden Legacy 0.0.3 to play at all. Stable 60 fps,2025/09/05
Retroid Pocket 5,sd865,switch,Hollow Knight Silksong,Perfect,Turnip 25.3.0-R6. Patched,Eden,1,Perfect 60 ffps on latest Eden Legacy 0.0.3,2025/09/05
Retroid Pocket 5,sd865,switch,Super Smash Bros Ultimate,Perfect,Turnip 24.3.0 9v2,Yuzu,1,-,2025/09/03
Odin 2 Portal,sd8g2,switch,Kirby And The Forgotten Land,Perfect,Turnip_v25.3.0_R6,Eden,1,-,2025/09/03
Retroid Pocket 5,sd865,switch,Dragon Quest Builders,Perfect,Qualcomm 615.65,Citron,1,-,2025/09/02
Retroid Pocket 5,sd865,switch,Tales Of Vesperia,Perfect,Qualcomm 615.65,Citron,1,Resolution:1X audio:cubeb,2025/09/02
Retroid Pocket 5,sd865,switch,Trials Rising,Unplayable,Qualcomm 805,Sudachi,1,"Game runs at 15 FPS, screen goes completely blue after brightness adjustment screen",2025/09/02
Retroid Pocket 5,sd865,switch,Japanese Rail Sim : Journey To Kyoto,Unplayable,Turnip 24.3.0 9v2,Sudachi,1.0.1,Crash after few minutes of play,2025/09/02
Retroid Pocket 5,sd865,switch,Ninja Gaiden Sigma 2,Great,Turnip 25.3.0-R1,Sudachi,1,-,2025/09/02
Retroid Pocket 5,sd865,switch,Darksiders Warmastered Edition,Great,Turnip 24.3.0 9v2,Eden,1,"Eden RC3Mesa Turnip Revision 9v2, .75x, Force Maximum Clocks, FXAA, Anisotropic 16x, AMD FidelityFX",2025/09/01
Retroid Pocket 5,sd865,switch,Marble It Up! Ultra,Perfect,Qualcomm 0.746.0,Eden,2.0.6,"Eden v0.0.3-rc3 (Standard apk, not ""Legacy"" or ""Optimized"") For thermals/battery improvement the game still plays well at 30fps (50% speed)",2025/09/01
Retroid Pocket 5,sd865,switch,Luigi's Mansion 2 Hd,Perfect,Turnip 24.3.0 R5,Eden,1,Okay first off you will need do install Eden Legacy Eden-Android-v0.0.3-rc3-Legacy.apk you need Mesa Turnip Driver v25.3.0-R5 Auto no settings changes runs at solid 30FPS small shadow texture glitches but not anything noticeable,2025/09/01
Retroid Pocket 5,sd865,switch,Luigi's Mansion 3,Great,Turnip Adreno 23.3.0-Unified,Eden,1.4.0,Okay first off you will need do install Eden Legacy Eden-Android-v0.0.3-rc3-Legacy.apk you need Turnip Adreno 23.3.0-Unified(@Mr_Purple_666) Graphics: 0.75X Resolution Disk Shader Cache: ON Force Maximum Clocks: ON Use Asynchronous Shaders: ON VSync: OFF Window Adapting Filter: AMD FidelityFX Super Resolution Debug: CPU Accuracy: Unsafe Add-ons/Mods/DLC Update 1.4.0 Disable Dynamic Resolution Mod: https://raw.githubusercontent.com/yuzu-mirror/yuzu-mod-archive/main/files/Luigis%20Mansion%203/Disable-Dynamic-Resolution.zip 60 FPS Mod: https://filecache44.gamebanana.com/mods/60fps_v140_.zip Notes: game fluctuates between 20-30FPS average FPS: 28 Game is very playable audio: Scuffed,2025/09/01
Retroid Pocket 5,sd865,switch,Pokemon Violet,Great,Turnip v25.3.0-R6,Sudachi,1,"Resolution at 0.75x, VSync Off, Asynchronous shaders on. Game runs and plays well at a max of 30FPS, with some dips down to 20-25 FPS in heavy zones. Some shadow flickering occurs and things like your ID picture are just black squares, but overall the game is very playable and enjoyable.",2025/09/01
Retroid Pocket 5,sd865,switch,Planet Of Lana,Perfect,GPU system driver Qualcomm 0.746.0,Eden,1.2.3.0,Docked mode (1080p).,2025/08/31
Retroid Pocket 5,sd865,switch,The Longest Road On Earth,Perfect,GPU system driver Qualcomm 0.746.0,Eden,1.0.0,Docked mode (1080p) Finished.,2025/08/31
Retroid Pocket 5,sd865,switch,Neva,Perfect,Mesa Turnip Driver v25.3.0-R1,Eden,1.2.0,Docked mode (1080p). Finished.,2025/08/31
Retroid Pocket 5,sd865,switch,Shinobi: Art Of Vengance,Perfect,Qualcom 819.2,Citron,1.01,-,2025/08/31
Retroid Pocket 5,sd865,switch,Yakuza Kiwami,Perfect,Qualcomm 819.1,Yuzu,1,-,2025/08/31
Retroid Pocket 5,sd865,switch,Cattle Country,Unplayable,Turnip 24.3.0 9v2,Eden,1.0.4,Can get through character creation but sadly not past the intro,2025/08/31
Retroid Pocket 5,sd865,switch,Pokemon Shield,Great,Turnip 25.3.0-R6. Patched,Eden,1,30 fps with some drops but very playable!,2025/08/31
Retroid Pocket 5,sd865,switch,Gris,Perfect,Turnip Adreno Driver 25.2.0-devel-AYANEO (@Mr_Purple_666),Eden,2.0.1,Docked Mode (1080p).Finished.,2025/08/31
Odin 2 Portal,sd8g2,switch,The Legend Of Zelda: Breath Of The Wild,Perfect,Mesa Turnip Driver V25.2.0-R2,Citron,1.2,Game completed. only a couple of issues. Sometimes water shader looks white but I found that any driver with vulkan 1.3.274 fixes that issue. In adition I used BOTW NX Optimizer mod to get 60fps but you will need to disable it in the final Boss of Vah Naboris to avoid bugs during the battle (it happens on any PC or Android emulator),2025/08/24
Retroid Pocket 5,sd865,switch,Mario Kart 8 Deluxe,Perfect,Qualcomm 0.746.0,Sudachi,1,-,2025/08/24
Retroid Pocket 5,sd865,switch,The Legend Of Zelda: Tears Of The Kingdom,Great,Turnip 24.3.4-Unified (@Mr_Purple_666),Eden,1.21,"System - Your Choice, Graphic - Normal, x1, FIFO (ON), Bilineal, 25%FSR, Debug - Vulkan, NCE, Auto",2025/08/24
Retroid Pocket 5,sd865,switch,Stray,Perfect,Turnip 25.0.0 R5,Eden,1,-,2025/08/24
Retroid Pocket 5,sd865,switch,The Binding Of Isaac: Repentance,Great,Qualcomm 819.1,Citron,1,-,2025/08/23
Retroid Pocket 5,sd865,switch,Batman Arkham Asylum,Perfect,Turnip 24.3.0 9v2,Eden,0.3,"force max clocks. preformance mode, quiet fan. solid 30 fps.",2025/08/23
Retroid Pocket 5,sd865,switch,Lego Marvel Superheroes,Perfect,Turnip 24.3.0 9v2,Eden,0.3,Force max clocks in handheld mode is all ive tried so far but im getting a stable 30fps and was finally able to make it past the first mission without crashing at all. also got to run around free roam a bit.,2025/08/23
Retroid Pocket 5,sd865,switch,Persona 5 Royal,Perfect,Turnip 24.3.0 9v2,Eden,1,"Very playable and without crashes, just change the NCE mode to JIT mode, this means it no longer crashes.",2025/08/23
Retroid Pocket 5,sd865,switch,Dragon Ball Z: Kakarot,Perfect,Turnip 25.2.0 R1,Sudachi,1,-,2025/08/23
Retroid Pocket 5,sd865,switch,Cocoon,Unplayable,Turnip 25.2.0-deveal-unified (@Mr_Purple_666),Eden,1,"Tested all drives, the game just crash the whole system, eden developers are aware of this issue",2025/08/23
Retroid Pocket 5,sd865,switch,Grandia Hd Collection,Great,turnip_mrpurple T19,Eden,1.01.19,The opening cinematic audio was stuttery but otherwise the game plays great so far. Ive only tried grandia 1 on it so far about an hour of gameplay.,2025/08/23
Retroid Pocket 5,sd865,switch,Stalker: Call Of Prypiat,Great,GPU 0.746.0 Qualcomm,Sudachi,1,-,2025/08/22
Retroid Pocket 5,sd865,switch,Chorno Croos: The Radical Dreamers Edition,Great,Mr.Purple T19,Eden,1.0.2,High Performance Fan: Smart No limit speed Docked mode x1 Disk Shader Caché Activated Force Maximum Clocks (Adreno Only) Activated Use Asynchronorus Shaders Activated Use Reactive Flushing Activated AMD FidelityFX Super Resolution Audio: cubeb,2025/08/22
Retroid Pocket 5,sd865,switch,Prince Of Persia: The Lost Crown,Perfect,Qualcomm 0.746.0,Sudachi,1.4.2,"Game plays perfectly until the water zone. Then you need to change to handheld mode and change the resolution to x0,75, otherwise is almost unplayable.",2025/08/22
Retroid Pocket 5,sd865,switch,Raid,Playable,Qualcomm 0.746.0,Eden,0.03,"- Set 0.75 resolution - set to performance - Set disk shaded - Set release fences early - Set enhance frame pacing - Set use fast GPU **Weird trick: if you set android to gestures and slide up as if you are going into the select open app menu, between the point of open app list appearing and the game pausing it can Force Eden to push through freezes.",2025/08/22
Retroid Pocket 5,sd865,switch,Mario &amp; Luigi: Brothership,Perfect,Turnip 24.3.0 9v2,Citron,1,Add video Précision to high to fix glitches when you find Luigi 1x résolution undocked.,2025/08/22
Retroid Pocket 5,sd865,switch,Stalker: Shadow Of Chernobyl,Great,Turnip 24.3.0 9v2,Sudachi,1,-,2025/08/22
Retroid Pocket 5,sd865,switch,Super Smash Bros Ultimate,Great,Turnip 25.3.0-R1,Sudachi,1,-,2025/08/22
Retroid Pocket 5,sd865,switch,Fate/extella: The Umbral Star,Unplayable,Rev 9.2,Citron,1,White screen during combats,2025/08/21
Retroid Pocket 5,sd865,switch,Nier Automata,Unplayable,Rev 9.2,Citron,1,"tried with every emulator out there , game runs smooth but it got severe graphic glitches",2025/08/21
Retroid Pocket 5,sd865,switch,Octopath Traveler Ii,Perfect,Mr. Purple T18,Citron,0.6,"Docked, x0.75, Accuracy: High, Disk Shader Cache: On, Async Shaders: On, Everything else default. Really good perfomance, nearly 30 fps all the times, including combat and crowded areas.",2025/08/19
Retroid Pocket 5,sd865,switch,Crosscode,Perfect,Qualcomm 0.746.0,Sudachi,1,Handheld mode 60 FPS,2025/08/19
Retroid Pocket 5,sd865,switch,Yu-gi-oh! Legacy Of The Duelist : Link Evolution,Perfect,Qualcomm 0.746.0,Citron,1,"Runs perfectly at 60 FPS, even in docked mode. The game can sometimes crash just after the splash screen. Clear the shaders cache and then restart the game.",2025/08/19
Retroid Pocket 5,sd865,switch,Escape The Backrooms,Perfect,Turnip 24.3.0 9v2,Eden,1,60fps,2025/08/19
Retroid Pocket 5,sd865,switch,Spongebob Squarepants: Battle For Bikini Bottom: Rehydrated,Unplayable,Turnip 25.2.0 R9,Yuzu,1,Tested it on All Available Switch Emulators. Game Glitches right when it try's to load up the Title Screen and then it Crashes after a few seconds.,2025/08/19
Retroid Pocket 5,sd865,switch,Mantis Burn Racing,Unplayable,Turnip 25.3.0-R4,Sudachi,1,Keep crashing with all drivers also tried: Rev 9v2 and 25.1.0.,2025/08/19
Retroid Pocket 5,sd865,switch,Stray,Perfect,Mesa Turnip Driver v25.3.0-R1,Citron,1.6.0,"Handheld mode, resolution 0.75x. No crash anymore.",2025/08/18
Retroid Pocket 5,sd865,switch,Herdling,Unplayable,Qualcomm 0.746.0,Eden,1,Only title screen with default driver. Crashes when starting new game.,2025/08/18
Retroid Pocket 5,sd865,switch,Cato: Buttered Cat,Perfect,Qualcomm 819.1,Citron,1.2.715,Vsync Mailbox Disk shader cache: on Asynchronous shaders: on Audio: cubeb,2025/08/18
Retroid Pocket 5,sd865,switch,Dusk Diver,Great,Turnip 24.3.0 9v2,Sudachi,1,Handheld mode .75x resolution,2025/08/18
Retroid Pocket 5,sd865,switch,Inertial Drift,Perfect,Turnip 24.3.0 9v2,Sudachi,1,Both base and updated played perfect no issues,2025/08/18
Retroid Pocket 5,sd865,switch,Mika And The Witch Mountain,Unplayable,Turnip 24.3.0 9v2,Sudachi,1,Freeze on Sudachi and Eden with all drivers after intro .,2025/08/18
Retroid Pocket 5,sd865,switch,The House Of The Dead 2: Remake,Perfect,GPU 0.746.0 Qualcomm,Sudachi,1,"Limit Speed toggle off, 1x resolution, disk shader cache on, Force Maximum Clocks on",2025/08/17
Retroid Pocket 5,sd865,switch,Persona 4 Golden,Perfect,Turnip 24.3.0 9v2,Eden,1,-,2025/08/17
Retroid Pocket 5,sd865,switch,Stray,Playable,Turnip 24.3.0 9v2,Eden,1,"25-35 fps at 0.75 resolution, crashes every now and then, but no problem due to the checkpoints",2025/08/17
Retroid Pocket 5,sd865,switch,Cruis'n Blast,Great,Turnip 25.3.0-R1,Sudachi,1,-,2025/08/17
Retroid Pocket 5,sd865,switch,Pokemon Sword,Playable,Default driver,Citron,1,-,2025/08/16
Retroid Pocket 5,sd865,switch,That Time I Got Reincarnated As A Slime Isekai Chronicles,Playable,Default driver,Citron,1.0.3,Reso: 0.5 High perf Seldom crashes but just swipe up the emulator and click it again,2025/08/16
Retroid Pocket 5,sd865,switch,Freedom Wars Remastered,Perfect,Qualcomm 0.746.0,Sudachi,1.6.0,30FPS no issues,2025/08/16
Retroid Pocket 5,sd865,switch,Olliolli World,Great,Qualcomm 0.746.0,Sudachi,1.0.1,other drivers had issue in loading screen.,2025/08/16
Retroid Pocket 5,sd865,switch,Shakedown: Hawaii,Perfect,Qualcomm 0.746.0,Sudachi,1.0.1,-,2025/08/16
Retroid Pocket 5,sd865,switch,Steamworld Heist Ii,Perfect,Qualcomm 0.746.0,Sudachi,1.2,-,2025/08/16
Retroid Pocket 5,sd865,switch,Super Monkey Ball Banana Rumble,Great,Qualcomm 0.746.0,Sudachi,2,60 FPS,2025/08/16
Retroid Pocket 5,sd865,switch,Daemon X Machina,Great,Rev 9.2,Citron,1.4.2,Reso: 0.75 Use high performance,2025/08/16
Retroid Pocket 5,sd865,switch,Atelier Yumia The Alchemist Of Memories And The Envisioned Land,Playable,Turnip 24.3.0 9v2,Sudachi,1.6,20-25fps If text freeze press ' - ' and skip intro. Also works on Eden Both on Sudachii and Eden.,2025/08/16
Retroid Pocket 5,sd865,switch,Cato: Buttered Cat,Unplayable,Turnip 24.3.0 9v2,Sudachi,1.2.715,Freezes when entering first pipe,2025/08/16
Retroid Pocket 5,sd865,switch,Divinity Original Sin 2,Playable,Turnip 24.3.0 9v2,Eden,1.0.10,Works 30-31 FPS,2025/08/16
Retroid Pocket 5,sd865,switch,Live A Live,Great,Turnip 24.3.0 9v2,Sudachi,1,-,2025/08/16
Retroid Pocket 5,sd865,switch,Ninja Gaiden Ragebound,Perfect,Turnip 24.3.0 9v2,Citron,1.0.3,Just started first level but everything is working perfectly so far.,2025/08/16
Retroid Pocket 5,sd865,switch,Nobody Save The World,Great,Turnip 24.3.0 9v2,Sudachi,1,Runs well no issues found,2025/08/16
Retroid Pocket 5,sd865,switch,Spongebob Squarepants: The Cosmic Shake,Great,Turnip 24.3.4-Unified (@Mr_Purple_666),Sudachi,1,"Accuracy level set on high. Rez at 0.75. VSync Mailbox. Disk shader on max clock on. Asynchronous shaders on. Tested the first level, consistent 30fps, few glitches during cinemastics but nothing dramatic. Solid 5/7.",2025/08/16
Retroid Pocket 5,sd865,switch,Cato: Buttered Cat,Unplayable,turnip_mrpurple T19,Eden,1.2.715,Freezes when entering first pipe,2025/08/16
Retroid Pocket 5,sd865,switch,Rack And Slay,Perfect,Turnip 24.3.0 9v2,Yuzu,1.2.8,"Runs very well, managed to complete a couple of runs without any crashes",2025/08/15
Retroid Pocket 5,sd865,switch,Metroid Dread,Perfect,Mesa Turnip Adreno Driver 23.2.0 for A7xx,Citron,1,Docked 60fps.,2025/08/15
Odin 2 Portal,sd8g2,switch,Bomberman R2,Unplayable,System GPU driver,Citron,1,-,2025/08/15
Odin 2 Portal,sd8g2,switch,The House Of Dead 2 Remake,Playable,Mesa Turnip Driver V25.2.0-R2,Eden,1.0.1,"The game works well, but it has random crashes, usually in the intros, I can't find a good driver that can fix it completely, the one mentioned is the one that works best",2025/08/14
Odin 2 Portal,sd8g2,switch,Cyber Shadow,Perfect,Mesa Turnip Driver V25.3.0-R4,Yuzu,1.0.2,"Yuzu, Suyu, and Sudashi are the best. Eden and Citron, although they work well, have too much input lag.",2025/08/14
Odin 2 Portal,sd8g2,switch,Metroid Prime Remastered,Perfect,Mesa Turnip Driver V25.3.0-R4,Yuzu,1,-,2025/08/14
Odin 2 Portal,sd8g2,switch,Super Mario 3d World,Playable,System GPU driver,Citron,1,-,2025/08/14
Retroid Pocket 5,sd865,switch,Xenoblade Chronicles Definitive Edition,Great,Turnip 24.1.0 R18,Citron,1.1.2,Docked mode Default settings,2025/08/14
Retroid Pocket 5,sd865,switch,8-bit Adventures 2,Great,Qualcomm 805,Sudachi,1,-,2025/08/13
Retroid Pocket 5,sd865,switch,Red Dead Redemption,Playable,Turnip 25.2.0-deveal-unified (@Mr_Purple_666),Eden,1,"Forced maximun clocks and used asynchronous shaders. 30 fps at native resolution with a few drops once in a while, runs almost as in original hardware, but that isn't much saying",2025/08/13
Retroid Pocket 5,sd865,switch,Mega Man 11,Perfect,Turnip 24.3.0 9v2,Sudachi,1.01,-,2025/08/12
Retroid Pocket 5,sd865,switch,Red Dead Redemption,Unplayable,Turnip 24.3.4-Unified (@Mr_Purple_666),Sudachi,1.0.4,Drops to 15 fps in populated areas on 0.5x,2025/08/12
Retroid Pocket 5,sd865,switch,Red Dead Redemption,Playable,Turnip 24.3.4-Unified (@Mr_Purple_666),Eden,1,"30 fps locked at 0.5x, probably would drop in a more populated area than the first town. I tried the same configuration on Sudachi and was just 15 fps on the same town, another point for Eden emulator I guess!",2025/08/12
Retroid Pocket 5,sd865,switch,Dragon Ball Fighterz,Unplayable,Turnip 25.1.0,Eden,1,Game crashes even with crash fix mod and 540p resolution,2025/08/12
Retroid Pocket 5,sd865,switch,Dragon Ball Fighterz,Perfect,Turnip 25.3.0-R4,Eden,1.33,Settings: 1) Crash fix enabled for 540p: https://www.mediafire.com/file/llur8mo8d2zln93/DBFZ_540p_crash_fix.zip/file ***THIS ONLY WORKS ON VERSION 1.33 2. Handheld mode .75 resolution 3. Disk shader cache/Async shaders on 4. FXAA/4x AA 5. ScaleForce on,2025/08/12
Retroid Pocket 5,sd865,switch,Enclave Hd,Perfect,Qualcomm 0.746.0,Citron,1,Works Perfect in docked mode with default settings! No crashes or bugs so far.,2025/08/11
Retroid Pocket 5,sd865,switch,Sifu,Playable,Turnip 24.3.0 9v2,Yuzu,1,"Handheld mode .75x, asynchronous shaders &amp; force maximum clocks on gets 25-30fps in combat but ~20 going from area to area. Playable but compromised.",2025/08/11
Retroid Pocket 5,sd865,switch,Outward - Definitive Edition,Perfect,turnip_mrpurple T19,Eden,0.03,Runs perfectly @ 30fps no dips so far,2025/08/11
Odin 2 Portal,sd8g2,switch,Mario Party Superstars,Perfect,Turnip 24.3.0 9v2,Sudachi,1.1.1,"Works perfectly with almost double speed on 1080p resolution. I played on *SUMI* emulator, jamboree is crashing for me",2025/08/10
Retroid Pocket 5,sd865,switch,Hatsune Miku: Project Diva Mega Mix,Perfect,Qualcomm 0.746.0,Eden,1.0.6,"The game runs perfect without any extra setting, tested on latest eden build up to this date, used 19.0.1 firmware",2025/08/10
Retroid Pocket 5,sd865,switch,Pokken Tournament Dx,Great,Turnip 24.2.0 R4-fix,Citron,1,"1x res, cache shader on, async shader on. OPTION max clock 50-60fps",2025/08/10
Retroid Pocket 5,sd865,switch,Dragon Ball Xenoverse 2,Great,Turnip 24.3.0 9v2,Eden,0.0.3,"Runs pretty well with the tweaks I made. Nearly stable 30fps in battle, which is really all that matters. Sometimes dips into low 20s when loading and in open world. I The game has to take a pretty big hit graphically and with resolution to make it work, but it still doesn't look horrible. RP5 needs to be in High Performance Mode. .75 Resolution Handheld mode Played about an hour with no game breaking moments.",2025/08/10
Retroid Pocket 5,sd865,switch,Dragon Ball Z: Kakarot,Unplayable,Turnip 24.3.0 9v2,Sudachi,1.0.15,"Game was running okay during opening fight and when you are flashing with Gohan, but then when you get home bright lights on screen make it unplayable. Could maybe work with some tweaking, but didn’t want to try. Used default settings.",2025/08/10
Retroid Pocket 5,sd865,switch,Dragon Ball Z: Kakarot,Unplayable,Turnip 24.3.0 9v2,Eden,0.0.3,"Game was running okay during opening fight and when you are flashing with Gohan, but then when you get home bright lights on screen make it unplayable. Could maybe work with some tweaking, but didn’t want to try. Used default settings.",2025/08/10
Retroid Pocket 5,sd865,switch,Factorio,Unplayable,Turnip 24.3.0 9v2,Eden,1,Crash before loading in game,2025/08/09
